prompt_id,source,category,prompt_text
SQUAD_001,squad_v1,factual,What is the oldest Presbyterian church in Richmond?
SQUAD_002,squad_v1,factual,Who is the CCO of Sony Music?
SQUAD_003,squad_v1,factual,When were late Paleolithic communities established along the lake shores?
SQUAD_004,squad_v1,factual,Who eventually defeated the Arabs at Rajasthan?
SQUAD_005,squad_v1,factual,What part of a polychaete can be everted?
SQUAD_006,squad_v1,factual,When was The Shevchenko Ukrainian Language Society made official?
SQUAD_007,squad_v1,factual,What continent fractured off Gondwana in the direction of Laurentia?
SQUAD_008,squad_v1,factual,What is Mr. Hinx's job?
SQUAD_009,squad_v1,factual,What is a reason why the water from a water stabilisation pond may be unusable?
SQUAD_010,squad_v1,factual,What was different about swedish progressive house music?
SQUAD_011,squad_v1,factual,What does the centrifugal switch do the capacitor when the rotor achieves operating speed?
SQUAD_012,squad_v1,factual,What people resulted from the Spaniards intermarrying with Pipll and Lenca women?
SQUAD_013,squad_v1,factual,Who stepped up after 2011?
SQUAD_014,squad_v1,factual,Who helped IBM develop the Playstation 3 microprocessor?
SQUAD_015,squad_v1,factual,What formal subclass classification were flowering plants given in 2009?
SQUAD_016,squad_v1,factual,What is a typical argument in favor of affirmative action?
SQUAD_017,squad_v1,factual,Where are the high altitude bands of clouds on Neptune?
SQUAD_018,squad_v1,factual,What was Victoria's unofficial title?
SQUAD_019,squad_v1,factual,Who went down in history as Yugoslavia's first lady?
SQUAD_020,squad_v1,factual,What percent of all websites are in English?
SQUAD_021,squad_v1,factual,What is the name of the first synthetic dye discovered?
SQUAD_022,squad_v1,factual,What piece of Chopin's work was dedicated to Schumann?
SQUAD_023,squad_v1,factual,What ranking does Burma hold for the number of troops currently serving on active military duty ?
SQUAD_024,squad_v1,factual,Who sells the newspaper Real Change on the street?
SQUAD_025,squad_v1,factual,What was a classic title originally offered by the Xbox Live Arcade?
SQUAD_026,squad_v1,factual,What was the rank of the pilot of the downed U-2?
SQUAD_027,squad_v1,factual,What term in higher education refers to technical universities that award engineering degrees?
SQUAD_028,squad_v1,factual,What was general Amer's political affiliation?
SQUAD_029,squad_v1,factual,Where are quanzhou and Zhangzhou located?
SQUAD_030,squad_v1,factual,When was the first Spanish department store opened?
SQUAD_031,squad_v1,factual,Who created the CTAG?
SQUAD_032,squad_v1,factual,What is it easier to do regarding God?
SQUAD_033,squad_v1,factual,What items are discussed at party retreats?
SQUAD_034,squad_v1,factual,What executive order directs agencies to declassify documents before sending them to NARA?
SQUAD_035,squad_v1,factual,Who is a notable bodybuilder from Hyderabad?
SQUAD_036,squad_v1,factual,What is the 2nd-largest company in Oklahoma?
SQUAD_037,squad_v1,factual,"What is the legal name of the ""Stupid Motorist Law""?"
SQUAD_038,squad_v1,factual,Who was Jim Foster's employer prior to his founding the Arena Football League?
SQUAD_039,squad_v1,factual,What was the city attacked by in 1943?
SQUAD_040,squad_v1,factual,What had Prince Rastislav requested?
SQUAD_041,squad_v1,factual,What gun is used in the Dutch Goalkeeper CIWS?
SQUAD_042,squad_v1,factual,What was another name for Richmond's Jackson Ward?
SQUAD_043,squad_v1,factual,What thus is the level of economic incentive and benefit?
SQUAD_044,squad_v1,factual,What was William James' nationality?
SQUAD_045,squad_v1,factual,When did gag single-panel illustrations become known as cartoons?
SQUAD_046,squad_v1,factual,When did GE cease production of the tantalum light filament?
SQUAD_047,squad_v1,factual,Who made up a majority of the people on the frontier?
SQUAD_048,squad_v1,factual,What did earning the ijazat al-tadris award students?
SQUAD_049,squad_v1,factual,When were most of the Alpine fourthousanders climber?
SQUAD_050,squad_v1,factual,Who founded the Gelug school?
SQUAD_051,squad_v1,factual,What year was the all-female masonic lodge cast aside?
SQUAD_052,squad_v1,factual,What was the aim of Executive Order 13526?
SQUAD_053,squad_v1,factual,What happened to China after the 20th century revolutions?
SQUAD_054,squad_v1,factual,Who said that Carrie had not paid her dues to win that award?
SQUAD_055,squad_v1,factual,Where was the focus of paintings on textures and surfaces?
SQUAD_056,squad_v1,factual,What religion was spread through CAR?
SQUAD_057,squad_v1,factual,What were the original boundaries?
SQUAD_058,squad_v1,factual,What type of chemicals is Iran a leading manufacturer of in the Middle East?
SQUAD_059,squad_v1,factual,Who is the British Queen?
SQUAD_060,squad_v1,factual,"What village protested over the large-scale death of fish in a nearby river on September 15, 2011?"
SQUAD_061,squad_v1,explanatory,How was the frequency response in early recordings?
SQUAD_062,squad_v1,explanatory,Why did Encyclopedias and dictionaries become more popular during the Age of Reason?
SQUAD_063,squad_v1,explanatory,How large in square kilometers is Swaziland?
SQUAD_064,squad_v1,explanatory,How many of the main Mexican airlines are based in Mexico City?
SQUAD_065,squad_v1,explanatory,Why did Greg Dyke of London Weekend Television meet with representatives of the biggest five English football clubs in 1990?
SQUAD_066,squad_v1,explanatory,how many machine guns did the Beaufighter include?
SQUAD_067,squad_v1,explanatory,How many ppm is a safe limit for direct skin exposure to formaldehyde?
SQUAD_068,squad_v1,explanatory,How much of its programming must the BBC obtain from other content producers?
SQUAD_069,squad_v1,explanatory,How many versions of the iPod currently exist?
SQUAD_070,squad_v1,explanatory,How did Frederick respond to the loss of a supply convoy?
SQUAD_071,squad_v1,explanatory,How much of a surplus did The Great Ehibition raise?
SQUAD_072,squad_v1,explanatory,How many US House reps did Oklahoma have after the 2000 census?
SQUAD_073,squad_v1,explanatory,How many dialects are in the eastern group?
SQUAD_074,squad_v1,explanatory,How did critics characterize Kennedy in comparison to Eisenhower?
SQUAD_075,squad_v1,explanatory,How fast do the observation deck elevators travel?
SQUAD_076,squad_v1,explanatory,How many people lived in China at the end of the 20th century?
SQUAD_077,squad_v1,explanatory,How much of Tucson was non-Hispanic Whites in 1970?
SQUAD_078,squad_v1,explanatory,How is the gastric phase stimulated to start?
SQUAD_079,squad_v1,explanatory,How did Hayek believe collectivism could be maintained?
SQUAD_080,squad_v1,explanatory,How long is Portugal's total road network?
SQUAD_081,squad_v1,explanatory,How does Switzerland rank worldwide in areas such as quality of life and civil liberties?
SQUAD_082,squad_v1,explanatory,How old was Bell when he went to Canada?
SQUAD_083,squad_v1,explanatory,How many temples were built in Tell Qaramel?
SQUAD_084,squad_v1,explanatory,How many units of the GameCube version of Twilight Princess had been purchased by the end of March 2007?
SQUAD_085,squad_v1,explanatory,How many major department stores did Baltimore have at the time?
SQUAD_086,squad_v1,explanatory,Why is Bermuda considered an offshore financial center?
SQUAD_087,squad_v1,explanatory,How many people lived in Easy Prussia in 1939?
SQUAD_088,squad_v1,explanatory,How far back does the foundation of The Old Ferryboat Inn date?
SQUAD_089,squad_v1,explanatory,How do most animals use the energy of sunlight?
SQUAD_090,squad_v1,explanatory,How many public universities are located in Melbourne?
SQUAD_091,squad_v1,explanatory,How much more water do lactating women need to consume in relation to the average woman?
SQUAD_092,squad_v1,explanatory,How many views per day was youtube receiving as of May 2011?
SQUAD_093,squad_v1,explanatory,How long did it take for South Africa to agree to the implantation of Namibia's new name?
SQUAD_094,squad_v1,explanatory,How many miles long is NH-7?
SQUAD_095,squad_v1,explanatory,How many regiments were in the Northern Army?
SQUAD_096,squad_v1,explanatory,How is Paris' climate categorized?
